firstName,lastName,position,nflTeam
Roman,Wilson,WR,PIT
Alexander,Mattison,RB,LV
Keaton,Mitchell,RB,BAL
Demarcus,Robinson,WR,LAR
Javon,Baker,WR,NE
Braelon,Allen,RB,NYJ
Jalin,Hyatt,WR,NYG
Kenneth,Gainwell,RB,PHI
JJ,McCarthy,QB,MIN
Darius,Slayton,WR,NYG
AJ,Dillon,RB,GB
Audric,Estime,RB,DEN
Clyde,Edwards-Helaire,RB,KC
Miles,Sanders,RB,CAR
Malachi,Corley,WR,NYJ
Zay,Jones,WR,ARI
Tyrone,Tracy Jr.,RB,NYG
Tyler,Boyd,WR,TEN
Mike,Gesicki,TE,CIN
Kendrick,Bourne,WR,NE
Drake,Maye,QB,NE
Odell,Beckham Jr.,WR,MIA
Rondale,Moore,WR,ATL
Bo,Nix,QB,DEN
Michael,Mayer,TE,LV
Tank,Bigsby,RB,JAC
Treylon,Burks,WR,TEN
Jelani,Woods,TE,IND
Justice,Hill,RB,BAL
Jamaal,Williams,RB,NO
Jonathan,Mingo,WR,CAR
AT,Perry,WR,NO
DJ,Chark Jr.,WR,LAC
Samaje,Perine,RB,DEN
Devontez,Walker,WR,BAL
Ja'Tavion,Sanders,TE,CAR
Dawson,Knox,TE,BUF
Jalen,McMillan,WR,TB
Cedric,Tillman,WR,CLE
Justin,Fields,QB,PIT
Josh,Reynolds,WR,DEN
KJ,Osborn,WR,NE
Alec,Pierce,WR,IND
Will,Shipley,RB,PHI
Gerald,Everett,TE,CHI
Trey,Palmer,WR,TB
Gardner,Minshew II,QB,LV
Andrei,Iosivas,WR,CIN
Jonnu,Smith,TE,MIA
Michael,Gallup,WR,LV
Dylan,Laube,RB,LV
Luke,McCaffrey,WR,WAS
Evan,Hull,RB,IND
Tyler,Higbee,TE,LAR
Trey,Sermon,RB,IND
Greg,Dulcich,TE,DEN
Noah,Brown,WR,HOU
Deuce,Vaughn,RB,DAL
Kadarius,Toney,WR,KC
Jeff,Wilson Jr.,RB,MIA
Michael,Carter,RB,ARI
Sam,Darnold,QB,MIN
Chris,Rodriguez Jr.,RB,WAS
D'Ernest,Johnson,RB,JAC
Jordan,Mason,RB,SF
Zach,Ertz,TE,WAS
Isaac,Guerendo,RB,SF
Brenden,Rice,WR,LAC
Israel,Abanikanda,RB,NYJ
Eric,Gray,RB,NYG
Pierre,Strong Jr.,RB,CLE
Michael,Thomas,WR,
Cordarrelle,Patterson,RB,PIT
Kareem,Hunt,RB,
Chase,Edmonds,RB,TB
Jerick,McKinnon,RB,
Emari,Demercado,RB,ARI
Greg,Dortch,WR,ARI
Tyler,Scott,WR,CHI
Aidan,O'Connell,QB,LV
Jacob,Cowing,WR,SF
Robert,Woods,WR,HOU
Ronnie,Rivers,RB,LAR
Colby,Parkinson,TE,LAR
Isaiah,Spiller,RB,LAC
Jalen,Tolbert,WR,DAL
Michael,Penix Jr.,QB,ATL
Daniel,Bellinger,TE,NYG
Cam,Akers,RB,MIN
Dalvin,Cook,RB,
Jacoby,Brissett,QB,NE
Tutu,Atwell,WR,LAR
Rashaad,Penny,RB,CAR
Theo,Johnson,TE,NYG
Joshua,Kelley,RB,
Hayden,Hurst,TE,LAC
Salvon,Ahmed,RB,MIA
Marquez,Valdes-Scantling,WR,BUF
Rasheen,Ali,RB,BAL
Nelson,Agholor,WR,BAL
Kalif,Raymond,WR,DET
Matt,Breida,RB,
JuJu,Smith-Schuster,WR,NE
Sam,Howell,QB,SEA
Allen,Lazard,WR,NYJ
Tre,Tucker,WR,LV
Donovan,Peoples-Jones,WR,DET
Malik,Washington,WR,MIA
Calvin,Austin III,WR,PIT
Skyy,Moore,WR,KC
John,Metchie III,WR,HOU
Hunter,Renfrow,WR,
Jauan,Jennings,WR,SF
Logan,Thomas,TE,SF
Donald,Parham Jr.,TE,LAC
Royce,Freeman,RB,DAL
Cedrick,Wilson Jr.,WR,NO
Tim,Patrick,WR,DEN
Kenny,Pickett,QB,PHI
Brandon,Powell,WR,MIN
Jawhar,Jordan,RB,HOU
Craig,Reynolds,RB,DET
Parris,Campbell,WR,PHI
Van,Jefferson,WR,PIT
Keaontay,Ingram,RB,KC
Bo,Melton,WR,GB
Xavier,Gipson,WR,NYJ
Drew,Lock,QB,NYG
Noah,Gray,TE,KC
Ainias,Smith,WR,PHI
Kylen,Granson,TE,IND
Latavius,Murray,RB,
Erick,All Jr.,TE,CIN
Tanner,Hudson,TE,CIN
Ty,Johnson,RB,BUF
Will,Dissly,TE,LAC
Johnny,Wilson,WR,PHI
Justin,Watson,WR,KC
Parker,Washington,WR,JAC
Joe,Flacco,QB,IND
Isaiah,Davis,RB,NYJ
Brevin,Jordan,TE,HOU
Xavier,Hutchinson,WR,HOU
Jeremy,Ruckert,TE,NYJ
Trenton,Irwin,WR,CIN
Emeka,Egbuka,WR,
Chase,Claypool,WR,BUF
Jaheim,Bell,TE,NE
Jase,McClellan,RB,ATL
Austin,Hooper,TE,NE
Cade,Stover,TE,HOU
Jarrett,Stidham,QB,DEN
Mac,Jones,QB,JAC
Cody,Schrader,RB,SF
Sean,Tucker,RB,TB
KaVontae,Turpin,WR,DAL
Blake,Watson,RB,DEN
Malik,Davis,RB,DAL
Johnny,Mundt,TE,MIN
Jake,Browning,QB,CIN
Ameer,Abdullah,RB,LV
Jameis,Winston,QB,CLE
Mecole,Hardman Jr.,WR,KC
Kenny,McIntosh,RB,SEA
Jared,Wiley,TE,KC
Foster,Moreau,TE,NO
Will,Mallory,TE,IND
Mack,Hollins,WR,BUF
Casey,Washington,WR,ATL
Adam,Trautman,TE,DEN
Jamari,Thrash,WR,CLE
Donovan,Edwards,RB,
Charlie,Jones,WR,CIN
Chris,Moore,WR,ARI
Jamison,Crowder,WR,WAS
Ryan,Flournoy,WR,DAL
Deneric,Prince,RB,KC
Jalen,Brooks,WR,DAL
Frank,Gore Jr.,RB,BUF
Kyle,Philips,WR,TEN
Kevin,Harris,RB,NE
Terrace,Marshall Jr.,WR,CAR
Robert,Tonyan,TE,MIN
Nick,Westbrook-Ikhine,WR,TEN
Quez,Watkins,WR,PIT
Isaiah,McKenzie,WR,NYG
Jake,Bobo,WR,SEA
Joshua,Dobbs,QB,SF
Braxton,Berrios,WR,MIA
Josh,Oliver,TE,MIN
Leonard,Fournette,RB,
Michael,Wiley,RB,WAS
Cole,Turner,TE,WAS
Bub,Means,WR,NO
Dillon,Johnson,RB,TEN
Darnell,Washington,TE,PIT
Trayveon,Williams,RB,CIN
David,Bell,WR,CLE
Cornelius,Johnson,WR,LAC
Zach,Wilson,QB,DEN
Luke,Schoonmaker,TE,DAL
TreVeyon,Henderson,RB,
DeeJay,Dallas,RB,ARI
Zach,Evans,RB,LAR
Kendall,Milton,RB,PHI
Scotty,Miller,WR,PIT
Jimmy,Garoppolo,QB,LAR
Lucas,Krull,TE,DEN
Boston,Scott,RB,LAR
Isaiah,Hodgins,WR,NYG
Dyami,Brown,WR,WAS
Justyn,Ross,WR,KC
Trent,Sherfield Sr.,WR,MIN
Jordan,Whittington,WR,LAR
Hassan,Haskins,RB,TEN
Tyrod,Taylor,QB,NYJ
Daijun,Edwards,RB,PIT
Derius,Davis,WR,LAC
Jha'Quan,Jackson,WR,TEN
AJ,Barner,TE,SEA
Olamide,Zaccheaus,WR,WAS
Allen,Robinson II,WR,NYG
Tommy,Tremble,TE,CAR
Brock,Wright,TE,DET
Kyle,Juszczyk,RB,SF
Durham,Smythe,TE,MIA
Tyquan,Thornton,WR,NE
Spencer,Rattler,QB,NO
Chris,Brooks,RB,MIA
Irv,Smith Jr.,TE,KC
Marcus,Rosemy-Jacksaint,WR,WAS
Raheem,Blackshear,RB,CAR
Jordan,Akins,TE,CLE
Keilan,Robinson,RB,JAC
Tip,Reiman,TE,ARI
Emanuel,Wilson,RB,GB
Patrick,Taylor Jr.,RB,SF
Davis,Allen,TE,LAR
